"","Date","Trump","Cruz","Rubio","Carson","Kasich","Bush","Christie","Fiorina","Gilmore","Graham","Huckabee","Jindal","Pataki","Perry","Rand.Paul","Santorum","Walker","Undecided","DOW","Weekday","Month","MonthName","Quarter","Year"
"18",2013-07-15,NA,7,12,NA,NA,10,15,NA,NA,NA,NA,1,NA,4,9,2,2,25,"1","Monday","07","July",3,"2013"
"19",2013-07-19,NA,12,10,NA,NA,13,13,NA,NA,NA,NA,4,NA,NA,16,4,NA,13,"5","Friday","07","July",3,"2013"
"20",2013-08-01,NA,NA,18,NA,NA,16,21,NA,NA,NA,NA,NA,NA,NA,15,NA,6,8,"4","Thursday","08","August",3,"2013"
"21",2013-09-06,NA,7,9,NA,NA,10,17,NA,NA,NA,NA,NA,NA,6,13,5,NA,10,"5","Friday","09","September",3,"2013"
"22",2013-09-23,NA,10,12,NA,NA,11,13,NA,NA,NA,NA,3,NA,NA,17,NA,4,20,"1","Monday","09","September",3,"2013"
"23",2013-09-25,NA,20,10,NA,NA,11,14,NA,NA,NA,NA,4,NA,NA,17,3,3,9,"3","Wednesday","09","September",3,"2013"
"24",2013-09-30,NA,16,9,NA,NA,9,14,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,25,"1","Monday","09","September",3,"2013"
"25",2013-10-19,NA,16,13,NA,NA,12,11,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,24,"6","Saturday","10","October",4,"2013"
"26",2013-10-26,NA,12,4,NA,NA,4,20,NA,NA,NA,NA,NA,NA,NA,7,NA,5,35,"6","Saturday","10","October",4,"2013"
"27",2013-10-29,NA,14,9,NA,NA,12,15,NA,NA,NA,NA,5,NA,NA,13,4,NA,12,"2","Tuesday","10","October",4,"2013"
"28",2013-11-18,NA,10,9,NA,NA,6,24,NA,NA,NA,NA,NA,NA,7,13,6,NA,8,"1","Monday","11","November",4,"2013"
"29",2013-12-03,NA,11.5,7,NA,NA,10.5,17.5,NA,NA,NA,NA,NA,NA,NA,13,NA,4.5,15.5,"2","Tuesday","12","December",4,"2013"
"30",2013-12-12,NA,14,7,NA,NA,10,19,NA,NA,NA,13,3,NA,NA,11,NA,4,10,"4","Thursday","12","December",4,"2013"
"31",2013-12-14,NA,9.5,7,NA,NA,9.5,17,NA,NA,NA,NA,NA,NA,NA,12,NA,6.5,13,"6","Saturday","12","December",4,"2013"
"32",2014-01-11,NA,8,12,NA,NA,14,18,NA,NA,NA,16,NA,NA,NA,6,NA,5,10,"6","Saturday","01","January",1,"2014"
"33",2014-01-12,NA,5,7,NA,NA,8,16,NA,NA,NA,NA,3,NA,6,9,5,4,25,"0","Sunday","01","January",1,"2014"
"34",2014-01-15,NA,9,8,NA,2,11,12,NA,NA,NA,NA,3,NA,NA,13,NA,6,23,"3","Wednesday","01","January",1,"2014"
"35",2014-01-20,NA,12,10,NA,NA,18,13,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,14,"1","Monday","01","January",1,"2014"
"36",2014-01-23,NA,8,8,NA,NA,14,13,NA,NA,NA,16,5,NA,NA,11,NA,6,10,"4","Thursday","01","January",1,"2014"
"37",2014-01-31,NA,8,9,NA,NA,10,10,NA,NA,NA,14,NA,NA,8,13,4,NA,7,"5","Friday","01","January",1,"2014"
