"","Date","Trump","Cruz","Rubio","Carson","Kasich","Bush","Christie","Fiorina","Gilmore","Graham","Huckabee","Jindal","Pataki","Perry","Rand.Paul","Santorum","Walker","Undecided","DOW","Weekday","Month","MonthName","Quarter","Year"
"176",2015-11-15,26,13.5,11.5,19,2.5,5,3.5,3,NA,0.5,2.5,NA,0.5,NA,2.5,1,NA,9,"0","Sunday","11","November",4,"2015"
"177",2015-11-16,28.6666666666667,12,12.6666666666667,19.6666666666667,2.66666666666667,5.33333333333333,2.66666666666667,3.66666666666667,NA,NA,3.33333333333333,NA,NA,NA,2.33333333333333,NA,NA,4,"1","Monday","11","November",4,"2015"
"178",2015-11-19,36,12,14,10,4,6,3,4,0,1,2,NA,0,NA,4,0,NA,3,"4","Thursday","11","November",4,"2015"
"179",2015-11-21,37,11,10,9,3,6,4,3,3,0,3,NA,2,NA,2,0,NA,6,"6","Saturday","11","November",4,"2015"
"180",2015-11-23,32,14,15.5,15.5,3,6.5,2,2.5,NA,1,1.5,NA,NA,NA,2.5,0.5,NA,NA,"1","Monday","11","November",4,"2015"
"181",2015-11-27,36,16,12,14,2,3,4,3,0,0,2,0,0,NA,1,0,NA,6,"5","Friday","11","November",4,"2015"
"182",2015-11-28,36,10,7,17,2,11,2,2,0,0,2,NA,0,NA,4,1,NA,5,"6","Saturday","11","November",4,"2015"
"183",2015-11-30,27,13,14,15,2,3,2,3,NA,0,2,NA,0,NA,2,0,NA,14,"1","Monday","11","November",4,"2015"
"184",2015-12-02,25.5,13.5,14,13,2,7,2.5,1.5,NA,NA,1,NA,NA,NA,3,NA,NA,15.5,"3","Wednesday","12","December",4,"2015"
"185",2015-12-03,41,7,10,12,2,5,3,2,NA,1,3,NA,1,NA,2,0,NA,9,"4","Thursday","12","December",4,"2015"
"186",2015-12-04,34.5,15.5,13,11,3,3.5,3,2.5,0,0,3,NA,0,NA,5,0,NA,4,"5","Friday","12","December",4,"2015"
"187",2015-12-05,37,11,12,13,2,5,4,2,0,2,2,NA,1,NA,1,1,NA,6,"6","Saturday","12","December",4,"2015"
"188",2015-12-06,27,22,15,11,2,7,3,5,NA,NA,3,NA,NA,NA,2,NA,NA,3,"0","Sunday","12","December",4,"2015"
"189",2015-12-07,40,12,11.5,11,2,6.5,4,3,NA,0.5,1.5,NA,NA,NA,1.5,0.5,NA,NA,"1","Monday","12","December",4,"2015"
"190",2015-12-10,39.5,14.5,11,10.5,2.5,4,3,1.5,NA,1,1.5,NA,0.5,NA,2,0,NA,7,"4","Thursday","12","December",4,"2015"
"191",2015-12-11,40,9,7,10,2,7,3,3,NA,1,3,NA,1,NA,3,1,NA,11,"5","Friday","12","December",4,"2015"
"192",2015-12-12,36,14,10,11,2,7,3,3,0,1,5,NA,0,NA,3,0,NA,6,"6","Saturday","12","December",4,"2015"
"193",2015-12-16,34.25,17.75,11.25,9.25,NA,5.25,4,2.75,NA,NA,NA,NA,NA,NA,2.5,NA,NA,6.75,"3","Wednesday","12","December",4,"2015"
"194",2015-12-17,37.5,19.5,11.5,8.5,2.5,4.5,5.5,3,NA,0.5,1.5,NA,NA,NA,2.5,NA,NA,1.5,"4","Thursday","12","December",4,"2015"
"195",2015-12-18,35,19,14,7,3,5,3,3,0,NA,1,NA,0,NA,6,1,NA,2,"5","Friday","12","December",4,"2015"
"196",2015-12-19,39,13,9,10,2,7,3,2,0,NA,3,NA,0,NA,2,3,NA,6,"6","Saturday","12","December",4,"2015"
"197",2015-12-26,39,14,12,12,1,6,2,1,0,NA,2,NA,0,NA,3,1,NA,6,"6","Saturday","12","December",4,"2015"
"198",2015-12-28,35,18,13,9,2,6,4,3,0,NA,2,NA,NA,NA,2,1,NA,5,"1","Monday","12","December",4,"2015"
"199",2015-12-31,36,19,13,6,4,4,4,3,0,NA,2,NA,NA,NA,5,1,NA,2,"4","Thursday","12","December",4,"2015"
"200",2016-01-02,41,15,8,11,1,8,3,1,0,NA,2,NA,NA,NA,3,1,NA,5,"6","Saturday","01","January",1,"2016"
"201",2016-01-04,35.6666666666667,19.3333333333333,11,9,2,3.66666666666667,3,2.33333333333333,NA,NA,1.33333333333333,NA,NA,NA,2.66666666666667,NA,NA,7.33333333333333,"1","Monday","01","January",1,"2016"
"202",2016-01-07,36,19,12,6,2,6,3,3,NA,NA,4,NA,NA,NA,1,0,NA,7,"4","Thursday","01","January",1,"2016"
"203",2016-01-08,42,10,9,12,2,5,4,1,NA,NA,2,NA,NA,NA,3,1,NA,8,"5","Friday","01","January",1,"2016"
"204",2016-01-09,35.6666666666667,18,10,9.66666666666667,2.66666666666667,6.66666666666667,4.33333333333333,3,NA,NA,2.33333333333333,NA,NA,NA,3,NA,NA,3.33333333333333,"6","Saturday","01","January",1,"2016"
"205",2016-01-10,41,20,11,5,4,6,3,4,NA,NA,2,NA,NA,NA,2,0,NA,NA,"0","Sunday","01","January",1,"2016"
"206",2016-01-11,38,21,11,8,2,4,3,3,0,NA,2,NA,NA,NA,3,0,NA,5,"1","Monday","01","January",1,"2016"
"207",2016-01-14,39,13,9,8,2,7,3,2,NA,NA,3,NA,NA,NA,3,1,NA,9,"4","Thursday","01","January",1,"2016"
"208",2016-01-15,37,18,12.5,7.5,2.5,4,3,1.5,0,NA,2.5,NA,NA,NA,3,1,NA,6.5,"5","Friday","01","January",1,"2016"
"209",2016-01-16,36,12,8,11,2,10,4,3,1,NA,2,NA,NA,NA,4,0,NA,6,"6","Saturday","01","January",1,"2016"
"210",2016-01-18,36.5,18.5,10.5,8,3.5,4,3,1.5,0.5,NA,1.5,NA,NA,NA,2.5,0,NA,8.5,"1","Monday","01","January",1,"2016"
"211",2016-01-19,45,13,8,4,3,6,2,3,NA,NA,2,NA,NA,NA,2,2,NA,10,"2","Tuesday","01","January",1,"2016"
"212",2016-01-20,34,17.5,10,10.5,2.5,5,3,2.5,NA,NA,1.5,NA,NA,NA,2,NA,NA,10.5,"3","Wednesday","01","January",1,"2016"
"213",2016-01-21,40.5,15,8.5,8,1.5,6,3.5,1.5,NA,NA,3,NA,NA,NA,2.5,0.5,NA,7.5,"4","Thursday","01","January",1,"2016"
"214",2016-01-22,32.5,16.5,12,9,3,6,1.5,2,0,NA,2,NA,NA,NA,3.5,1,NA,10.5,"5","Friday","01","January",1,"2016"
"215",2016-01-25,39,20,12,7,3,3,3,2,0,NA,2,NA,NA,NA,3,1,NA,4,"1","Monday","01","January",1,"2016"
"216",2016-01-27,43,18,14,4,5,4,2,2,1,NA,2,NA,NA,NA,4,1,NA,NA,"3","Wednesday","01","January",1,"2016"
"217",2016-01-29,41,12,8,9,2,7,3,1,NA,NA,3,NA,NA,NA,3,1,NA,8,"5","Friday","01","January",1,"2016"
"218",2016-01-30,36,16,14,8,3,7,5,2,0,NA,2,NA,NA,NA,2,0,NA,4,"6","Saturday","01","January",1,"2016"
"219",2016-02-01,35,20,17,7,3,3,3,2,0,NA,0,NA,NA,NA,2,0,NA,5,"1","Monday","02","February",1,"2016"
"220",2016-02-02,31.3333333333333,19,17.3333333333333,8.66666666666667,3.33333333333333,4.33333333333333,3,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.33333333333333,"2","Tuesday","02","February",1,"2016"
"221",2016-02-03,34.5,18.5,18,7,4,5,3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,"3","Wednesday","02","February",1,"2016"
"222",2016-02-06,35,23,14,11,2,7,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"6","Saturday","02","February",1,"2016"
"223",2016-02-08,38,18,14,8,7,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"1","Monday","02","February",1,"2016"
"224",2016-02-10,41.5,17.5,14.5,7,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,"3","Wednesday","02","February",1,"2016"
"225",2016-02-11,37,19.5,16.5,5.5,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,"4","Thursday","02","February",1,"2016"
"226",2016-02-12,35,18,12,6,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","Friday","02","February",1,"2016"
"227",2016-02-13,40,17,11,10,9,9,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,"6","Saturday","02","February",1,"2016"
"228",2016-02-14,26,28,17,10,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"0","Sunday","02","February",1,"2016"
"229",2016-02-15,38.5,15.5,14.5,10,5.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"1","Monday","02","February",1,"2016"
